Name,Quantity,Component
"U1",1," Arduino Uno R3"
"UChip 1, UChip 2",2," 8-Bit Shift Register"
"D1, D2, D3, DMicrowave, D5, D6, D7, D8, D9",9,"Red LED"
"R1, R2, R3, R4, R5, R7, R8, R9",8,"680 Ω Resistor"
"R6",1,"220 Ω Resistor"
"RpotRoom 1 sim. current1, RpotRoom 2 sim. current",2,"10 kΩ Potentiometer"
"K1",1," Relay SPDT"
"U4",1,"PCF8574-based, 39 (0x27) LCD 16 x 2 (I2C)"
"3",1," Breadboard"
"D4",1," Diode"
"T1",1," NPN Transistor (BJT)"
"R10",1,"1 kΩ Resistor"
"L1",1," Light bulb"
"SBreaker 1, SBreaker 2, SRoom 1 Fan, SRoom 2 Exhaust, SRoom 2 Microwave1, S6, SRoom 1 Light, SRoom 1 TV1, SRoom 2 AC1, SRoom 2 Light",10," Slideswitch"
